rsi,currentADX,prevADX,rvol,atrPercentage,upperWick,lowerWick,bodySize,isWhipsaw,directionIntent,target_win
43.9010,18.6386,18.3218,0.9483,0.4195,0.2800,0.2000,0.0600,0,1,0
25.4007,25.8036,23.0694,3.8109,0.5222,0.0000,0.3200,1.6200,0,-1,0
47.8038,34.2444,34.6633,1.0598,0.5756,0.1200,0.0700,0.9100,0,-1,0
61.6722,16.7389,17.0718,1.0185,0.3642,0.0100,0.0600,0.4600,0,1,0
51.1090,24.3618,26.0461,3.9708,0.2954,0.1700,0.2900,0.0100,0,1,0
37.8753,22.6376,21.9749,1.8538,0.2777,0.1000,0.1700,0.4700,0,-1,0
21.4237,27.6244,24.3249,11.9248,0.4252,0.3100,1.2600,1.3700,0,-1,0
19.5058,36.0336,34.0282,2.5616,0.6248,0.4300,0.9800,0.2600,1,-1,0
8.7743,41.6940,38.5122,5.8944,0.9784,0.2200,2.1500,2.5400,0,-1,1
24.3302,55.8733,53.9452,2.2978,1.4171,0.2600,3.6800,0.0400,1,-1,0
57.6138,30.2861,32.5796,0.5179,0.7211,0.0700,0.0200,1.0300,1,1,0
39.6971,16.4785,15.9342,1.2151,0.5425,0.0600,0.2900,0.4700,0,-1,0
51.1342,24.6140,25.8669,2.4459,0.7993,0.3700,0.0000,2.1500,1,-1,0
58.3189,16.3330,16.3245,6.2424,0.9161,1.0400,0.2500,0.1100,0,1,0
35.1262,15.9117,14.4149,0.5847,0.7353,0.2000,0.0800,1.8300,1,-1,1
21.3665,27.8208,24.7827,3.7486,0.9678,0.0000,0.5100,1.9200,0,-1,0
56.0125,24.8783,26.5904,0.7940,0.6973,0.1100,0.3300,0.9000,0,1,0
35.1081,15.2365,13.2259,2.7591,0.5075,0.0900,0.0300,1.1300,0,-1,1
24.1201,31.6882,28.4323,1.3034,0.7782,0.2200,0.8500,0.3800,1,-1,0
42.1316,39.9216,41.0862,1.0816,0.8547,0.8100,0.7800,0.3400,1,-1,0
48.5839,20.9533,22.4387,0.5996,1.0679,0.9400,0.0000,0.2100,1,-1,0
66.2191,17.8902,16.1151,1.1377,0.4473,0.2200,0.1700,0.6300,0,1,0
52.3701,32.0377,32.9749,1.3981,0.4540,0.0500,0.2600,0.4700,1,1,0
50.3961,30.7403,31.4565,3.1881,0.4664,0.5100,0.3100,1.0500,1,1,0
55.6571,32.4130,32.6001,1.8535,0.6918,0.5900,0.1600,0.9700,1,1,0
47.5742,30.0334,31.3978,2.1763,0.8517,0.0700,0.4700,1.4800,0,1,1
64.0105,24.8880,24.7754,1.3112,1.0191,0.0900,0.1400,1.2800,1,1,1
79.2878,29.2946,26.8040,3.0470,0.5643,0.6100,0.4000,0.0200,0,1,0
35.8569,24.9485,23.5386,0.1639,0.4561,0.0300,0.1600,0.1800,1,-1,0
66.7690,29.1562,28.6112,2.5907,0.5382,0.1300,0.1200,1.8500,0,1,0
74.8727,32.7935,30.8427,3.1505,0.6523,0.6200,0.0000,1.3100,0,1,0
56.1884,33.1150,34.2511,1.7062,0.7381,0.0500,0.8200,0.0400,0,1,0
33.8128,20.2575,18.8641,2.4963,0.7052,0.0400,0.1500,1.7200,0,-1,1
38.2916,42.8525,41.7269,0.2085,0.4795,0.0800,0.1800,0.1300,1,-1,0
49.4113,33.7414,35.5153,1.1480,0.4945,0.3100,0.2300,0.5300,1,-1,0
61.5325,18.9368,19.1103,3.5704,0.4612,0.1400,0.3800,0.8200,0,1,0
47.5213,17.4484,18.1200,0.8517,0.5979,0.0700,0.3400,0.6800,0,-1,0
